indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a,,,,
commute,Philadelphia,0.25287035,0.267979705,0.249140631,0.27189953,0.256301345,0.259814436,0.271666922,0.268292989,0.252261966,0.240081084,,0.264,N/A,N/A,N/A,N/A,N/A,N/A,0.172374265,0.331159122,0.195833486,0.192867112,44209,83721,16084,10502,,,,
commute,Phoenix,0.040150674,0.039225576,0.032169063,0.030970597,0.039544924,0.032024274,0.040205054,0.033767267,0.035356884,0.029883779,0.037384115,0.03,N/A,N/A,N/A,N/A,N/A,N/A,0.016024199,0.082449847,0.027546426,0.026123365,5769,4114,8553,861,,,,
commute,Pittsburgh,0.184926173,0.208683877,0.190823683,0.180322323,0.180273763,0.172364944,0.148144666,0.174793335,0.173331879,0.180755331,0.177353718,0.186,N/A,N/A,N/A,N/A,N/A,N/A,0.134969719,0.314178389,0.171307719,0.240178485,14731,7862,972,2476,,,,
commute,Washington,0.363849992,0.357408619,0.371186225,0.383018162,0.3958918,0.385996327,0.384883379,0.360596627,0.357769091,0.360158916,0.326716927,0.344,N/A,N/A,N/A,N/A,N/A,N/A,0.316807657,0.323218685,0.393914917,0.330725612,55876,42373,16093,6299,,,,
homeownership,Baltimore,0.514220237,0.513570752,0.507141032,0.459278405,0.486150528,0.463143983,0.462316786,0.459536955,0.447520973,0.457485338,0.47419677,0.475,0.255,0.499,0.644,14773,60957,36891,0.575,0.428,0.386,0.398,45646,59116,3112,2400,,,,
homeownership,Boston,0.385287244,0.368499672,0.371876496,0.324843775,0.335418777,0.332018896,0.336423615,0.349203347,0.340626099,0.349969356,0.351891884,0.341,0.159,0.419,0.463,14522,54326,24888,0.422,0.3,0.182,0.293,58128,18343,8648,7455,,,,
homeownership,Chicago,0.499142647,0.480140523,0.468470089,0.458563972,0.442251722,0.443604819,0.429008403,0.43645364,0.43816397,0.437019088,0.448856776,0.457,0.218,0.517,0.62,64144,285953,142544,0.537,0.341,0.478,0.453,234854,108413,110102,32953,,,,
homeownership,Cleveland,0.466563494,0.462052565,0.461123617,0.469495121,0.448701754,0.411548885,0.424847932,0.395170619,0.411852064,0.418368923,0.404077639,0.4,0.158,0.428,0.608,6944,38656,23533,0.518,0.322,0.328,0.308,34150,26658,5433,1438,,,,
homeownership,Detroit,0.554124352,0.533031142,0.537514534,0.532380359,0.51768528,0.498808644,0.499377257,0.462523176,0.465740668,0.459808326,0.469420487,0.468,0.191,0.477,0.697,11331,67181,46199,0.531,0.454,0.548,0.208,15950,97089,7549,690,,,,
homeownership,Houston,0.474266868,0.466959525,0.47430318,0.462245625,0.45043311,0.440694343,0.430057184,0.416539599,0.413640888,0.431423584,0.427698445,0.419,0.167,0.466,0.666,39152,215629,100811,0.559,0.283,0.387,0.454,144878,59610,117311,28688,,,,
