indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a,,,,
deep_poverty,Chicago,0.090996586,0.093455423,0.100644387,0.100097431,0.11234008,0.106084317,0.107868425,0.102886058,0.094669744,0.085666728,0.084774985,0.08,N/A,N/A,N/A,N/A,N/A,N/A,0.044,0.126,0.07,0.109,38505.94,98058.366,53862.62,19314.037,,,,
deep_poverty,Cleveland,0.137431925,0.142060939,0.172539382,0.165916756,0.176496675,0.188010763,0.177467234,0.190177569,0.173633799,0.17723759,0.148706345,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
deep_poverty,Detroit,0.185830247,0.155243024,0.184913389,0.189582769,0.212632018,0.210428709,0.223712981,0.204184608,0.181482483,0.166107726,0.172712239,0.172,N/A,N/A,N/A,N/A,N/A,N/A,0.205,0.172,0.146,0.067,14155.25,88631.256,7597.694,654.121,,,,
deep_poverty,Houston,0.082429086,0.07973712,0.084787613,0.094044096,0.099940656,0.096873757,0.091564629,0.089792677,0.091013315,0.086374904,0.085780415,0.093,N/A,N/A,N/A,N/A,N/A,N/A,0.061,0.118,0.101,0.073,33059.438,60167.02,104743.767,12081.573,,,,
deep_poverty,Philadelphia,0.11085543,0.11060648,0.119951396,0.134751535,0.131056045,0.122521885,0.121974927,0.12281726,0.121619832,0.122661292,,0.111,N/A,N/A,N/A,N/A,N/A,N/A,0.069,0.14,0.143,0.096,35870.547,90152.72,33654.478,10659.264,,,,
deep_poverty,Phoenix,0.082959347,0.090835636,0.102100578,0.113485532,0.108508079,0.116308231,0.112840914,0.106436355,0.107006782,0.090067281,0.072339717,0.064,N/A,N/A,N/A,N/A,N/A,N/A,0.047,0.078,0.079,0.047,32597.132,9381.294,55913.119,2662.08,,,,
deep_poverty,Pittsburgh,0.096376483,0.114082552,0.117690091,0.099007898,0.126531457,0.107463785,0.118607528,0.119662726,0.112931433,0.097763692,0.112065107,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
deep_poverty,Washington,0.084620512,0.097710519,0.107224611,0.106817899,0.103105975,0.103719629,0.103199147,0.090961948,0.091862884,0.107435452,0.089338855,0.097,N/A,N/A,N/A,N/A,N/A,N/A,0.04,0.151,0.071,0.053,9818.96,46507.245,5370.653,1289.49,,,,
homicide_capita,Baltimore,,37.7,38.356,35.91,31.752,35,37.43,33.9,55.2,51.5,55.8,50.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Boston,,10.3,8.161,11.754,9.992,9.3,5.971,8.2,6.1,6.9,8.6,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Chicago,,18.9,16.982,16.015,15.915,18.7,15.256,15,17.2,28,24,20.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Cleveland,,13.5,20.659,20.46,18.849,24.6,14.805,26.4,30.8,35,33.7,33.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Detroit,,42.7,49.647,43.593,48.791,54.6,45.672,43.6,43.4,44.6,39.7,38.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Houston,,14.3,13.75,12.819,9.321,10.1,9.907,11,13.2,13.2,11.7,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Philadelphia,,22.1,19.938,20.022,21.035,21.6,15.85,16,17.9,17.7,20.2,22.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Phoenix,,11.5,6.127,8.004,7.891,7.9,7.726,7.7,7.4,9.4,10,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Pittsburgh,,23.4,12.721,18.009,14.374,13.7,14.657,23.2,19.6,18.4,18.8,17.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
homicide_capita,Washington,,34.4,24.315,21.815,17.431,14.2,15.836,16.2,24.6,20.1,17,23.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
population,Baltimore,,620184,620509,621005,620442,622973,622497,623165,622150,615150,609841,602495,0.496,0.368,0.133,302465,226637,82552,0.275,0.627,0.053,0.027,167706,382370,32322,16466,,,,
population,Boston,,600685,612669,621074,630480,643003,653103,663017,670791,680470,688276,694583,0.543,0.337,0.119,374038,228998,79984,0.439,0.259,0.204,0.097,302153,178263,140408,66763,,,,
population,Chicago,,2697359,2697006,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994,0.508,0.37,0.122,1379030,1004894,332538,0.329,0.298,0.29,0.067,892599,808494,786789,181775,,,,
population,Cleveland,,408261,401770,395890,392594,391500,391759,390850,389248,387708,385428,383793,0.483,0.378,0.136,186163,146463,52933,0.329,0.487,0.124,0.024,126806,187703,47793,9250,,,,
population,Detroit,,756383,731155,711120,705043,700159,691883,682669,679305,676883,674188,672662,0.503,0.354,0.139,339317,239338,94456,0.105,0.79,0.072,0.018,70790,532609,48542,12135,,,,
population,Houston,,2060477,2087334,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502,0.533,0.36,0.108,1234601,832525,246112,0.247,0.229,0.446,0.065,572409,530695,1033580,150634,,,,
population,Philadelphia,,1499731,1514694,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138,0.509,0.358,0.135,804990,564164,211716,0.345,0.42,0.148,0.073,545176,663693,233873,115356,,,,
population,Phoenix,,1456729,1452679,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272,0.515,0.378,0.11,842229,609483,174380,0.418,0.072,0.429,0.04,683423,117719,701408,65399,,,,
population,Pittsburgh,,307673,306570,305410,306107,306470,307022,306092,304211,304814,301720,301048,0.529,0.315,0.153,159714,96025,46680,0.65,0.221,0.03,0.065,196118,66680,9052,19612,,,,
population,Washington,,580236,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455,0.52,0.362,0.124,361719,248268,83992,0.365,0.459,0.11,0.041,253927,319322,76526,28523,,,,
