indicator,city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
hh_income,Boston,55979,49893,49081,51642,53583,56902,58263,63621,66758,71834,79018,,79283,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,108192,56029,41530,60348
hh_income,Chicago,45734,44776,43628,45214,47099,48734,50702,53006,55295,57238,61811,,66576,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,95198,37911,60349,82615
hh_income,Cleveland,24687,25977,25371,24257,26096,24701,28831,27551,28974,29953,32053,,35562,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,47261,27241,34070,35548
hh_income,Detroit,26098,25787,25193,23600,24820,25769,25980,28099,30344,31283,33965,,36140,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44327,34825,39140,48667
hh_income,Houston,42945,42355,42877,42847,45353,45460,48064,47793,50896,51203,52450,,55499,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84596,37833,47321,78489
hh_income,Philadelphia,37045,34400,34207,35386,36836,39043,41233,41449,39759,46116,47474,,52899,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,78010,38289,44795,55712
hh_income,Phoenix,47085,42260,43960,44153,46601,47929,48452,52062,56696,57957,60931,,68435,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,77086,48482,57155,102535
hh_income,Pittsburgh,37461,36196,35947,39884,42004,41074,41293,44707,45851,47417,53799,,57821,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,67349,28989,35268,46518
hh_income,Washington,59290,60903,63124,66583,67572,71648,75628,75506,82372,85203,92266,,90088,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,146265,52815,89612,110029
labor_force,Baltimore,0.615,0.614,0.629,0.624,0.616,0.61,0.601,0.626,0.617,0.625,0.624087651,0.621629759,0.623167901,0.364003169,0.455476812,0.18052002,171859,215047,85230,0.290484098,0.59004397,0.048651236,n/a,137148,278581,22970,n/a
labor_force,Boston,0.719,0.689,0.673,0.681,0.691,0.676,0.692,0.695,0.696,0.69,0.71218193,0.698397305,0.692664308,0.462688631,0.390026664,0.147284705,260986,220000,83078,0.468324516,0.193231619,0.183656465,0.102869533,264165,108995,103594,58025
labor_force,Chicago,0.664,0.657,0.663,0.667,0.664,0.659,0.66,0.67,0.667,0.673,0.671577745,0.672387486,0.672463029,0.372493132,0.458838323,0.168668545,824112,1015144,373166,0.352378073,0.279167356,0.271078031,0.073195801,779609,617636,599739,161940
labor_force,Cleveland,0.596,0.604,0.578,0.576,0.595,0.59,0.58,0.59,0.592,0.588,0.596745821,0.595309243,0.597988273,0.360215323,0.455799068,0.18398561,107936,136577,55130,0.376981942,0.456029342,0.111706264,n/a,112960,136646,33472,n/a
labor_force,Detroit,0.542,0.547,0.529,0.521,0.529,0.539,0.53,0.552,0.53,0.545,0.565250325,0.547646967,0.549068409,0.351489346,0.457517695,0.190992958,172860,225004,93929,0.114145586,0.765199993,0.0685756,n/a,56136,376320,33725,n/a
labor_force,Houston,0.688,0.67,0.682,0.682,0.69,0.682,0.681,0.675,0.662,0.67,0.66630531,0.667587841,0.673328815,0.37454682,0.472419399,0.153033781,680301,858070,277960,0.261450694,0.224054426,0.416073392,0.074840984,474881,406957,755727,135936
labor_force,Philadelphia,0.601,0.579,0.582,0.589,0.597,0.598,0.604,0.597,,0.611,0.61994204,0.61562358,0.628897833,0.215320133,0.256500342,0.102501241,476379,567487,226776,0.207007976,0.222948425,0.079587439,0.045058312,457989,493256,176081,99688
labor_force,Phoenix,0.674,0.654,0.669,0.657,0.65,0.655,0.647,0.669,0.673,0.685,0.676978597,0.679846853,0.675621912,0.37019185,0.48054462,0.14926353,470261,610444,189612,0.437767896,0.072249683,0.393308914,0.042470501,556104,91780,499627,53951
labor_force,Pittsburgh,0.617,0.623,0.597,0.629,0.631,0.624,0.614,0.636,0.632,0.628,0.660593243,0.641386948,0.631643345,0.442822347,0.37567515,0.181502502,116174,98558,47617,0.669101083,0.195445761,n/a,n/a,175538,51275,n/a,n/a
labor_force,Washington,0.667,0.668,0.674,0.69,0.688,0.689,0.698,0.693,0.705,0.707,0.708311572,0.706942054,0.70728737,0.388001513,0.435041916,0.150623235,220542,247280,85615,0.392581269,0.417489254,0.101350289,0.046554531,217269,231054,56091,25765
pre_K,Baltimore,0.484343257,0.484834649,0.461185873,0.502501959,0.508695158,0.524485205,0.571378971,0.480797805,0.475199812,0.54,0.49,,0.046,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Boston,0.657072298,0.60546993,0.543960859,0.591633879,0.59347118,0.596717044,0.585478464,0.586862833,0.654651449,0.626,0.749,,0.044,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Chicago,0.558877426,0.498340692,0.500759621,0.549329734,0.561451304,0.570398808,0.562744727,0.609335754,0.537302427,0.589,0.582,,0.059,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Cleveland,0.502204842,0.564420302,0.461173559,0.412688092,0.414483821,0.424539463,0.415114683,0.521520515,0.319509407,0.4,0.478,,0.038,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Detroit,0.397006944,0.428063763,0.467358058,0.458688386,0.410072304,0.436479848,0.368716707,0.386460926,0.434450552,0.36,0.423,,0.045,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Houston,0.410768015,0.406144541,0.405234183,0.426358737,0.407851721,0.444654035,0.402069247,0.418546436,0.428717417,0.463,0.477,,0.057,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Philadelphia,0.554465999,0.503132302,0.519080003,0.483552781,0.44787715,0.459450372,0.479664589,0.51423542,,0.538,0.492,,0.049,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Phoenix,0.29461702,0.320946566,0.26739458,0.309234396,0.296077577,0.282495667,0.328861633,0.353061017,0.380037895,0.33,0.354,,0.034,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Pittsburgh,0.583457249,0.661180124,0.602423061,0.457780342,0.573007563,0.663909774,0.398438886,0.503950695,0.512323612,0.615,0.448,,0.029,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
pre_K,Washington,0.588951493,0.739093533,0.745657568,0.783919267,0.784976397,0.863601978,0.745537386,0.777107728,0.73214683,0.781,0.856,,0.085,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Baltimore,0.597693377,0.512808755,0.536754,0.501242,0.526132,0.513922,0.498318,0.459396,0.481376,0.465088,0.493458,,0.524,0.535070053,0.47538307,0.645203803,24709,30280,13708,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Boston,0.49769944,0.481650593,0.504258689,0.477074,0.489393,0.494135,0.512652,0.476093,0.482564,0.469155,0.466059,,0.492,0.468449467,0.485643413,0.5722095,35315,36415,15492,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Chicago,0.54567425,0.514233755,0.516218204,0.488124,0.479005,0.498486,0.477752,0.465878,0.460903,0.457983,0.438386,,0.464,0.42055112,0.455891623,0.599453894,102879,123672,55543,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Cleveland,0.575849569,0.541643817,0.526073489,0.528767,0.524658,0.531238,0.472504,0.488181,0.480133,0.462143,0.454545,,0.467,0.501747881,0.418362303,0.54103191,18946,21157,8630,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Detroit,0.679320448,0.603676982,0.605408366,0.582735,0.578877,0.575001,0.56723,0.548972,0.515742,0.505783,0.505433,,0.541,0.547665791,0.526539379,0.569991251,21480,33093,11727,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Houston,0.502488644,0.472135826,0.476398308,0.474903,0.452551,0.472758,0.479418,0.489246,0.465515,0.471927,0.48253,,0.506,0.471037562,0.501926951,0.6324554,97802,132602,40486,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Philadelphia,0.550979976,0.531452434,0.532395917,0.518911,0.522741,0.527632,0.519494,0.480503,0.427837,0.494698,0.518593,,0.489,0.483931157,0.458625646,0.589915074,60172,64458,27785,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Phoenix,0.527022664,0.512490608,0.476704929,0.502642,0.459795,0.471462,0.460651,0.45836,0.453335,0.451572,0.435932,,0.499,0.518050912,0.465114764,0.584320279,50511,57104,16084,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Pittsburgh,0.483247173,0.500451414,0.465383376,0.448648,0.481271,0.457941,0.470992,0.422679,0.440497,0.46389,0.413958,,0.459,0.519436162,0.344407154,0.506205027,36890,8107,4854,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
cost_burden,Washington,0.491275958,0.474837288,0.463374355,0.457575,0.467065,0.455187,0.456232,0.455482,0.448804,0.437506,0.40628,,0.451,0.410287246,0.465866457,0.520783388,32752,37376,14120,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
college,Baltimore,0.261,0.242,0.275,0.269,0.287,0.3,0.299,0.308,0.306,0.331,0.332990061,,0.377,0.385494387,0.364166903,0.278,61432,78313,23675,0.645,0.223,0.33,0.719,80112,52982,6097,7537
college,Boston,0.447,0.443,0.427,0.433,0.452,0.465,0.466,0.484,0.482,0.514,0.517272072,,0.525,0.557350933,0.441745455,0.336,139593,97184,27902,0.724,0.279,0.261,0.569,160021,25560,21269,24732
college,Chicago,0.331,0.333,0.335,0.345,0.351,0.36,0.366,0.385,0.388,0.394,0.41338758,,0.437,0.482072823,0.408749892,0.296,370230,414940,110349,0.653,0.264,0.199,0.644,491316,140566,96723,90973
college,Cleveland,0.137,0.133,0.147,0.152,0.165,0.151,0.162,0.163,0.17,0.17,0.185557513,,0.217,0.252389963,0.200114221,0.153,25609,27331,8427,0.307,0.139,0.141,0.56,30748,16393,3744,3396
college,Detroit,0.124,0.12,0.13,0.13,0.13,0.138,0.142,0.149,0.146,0.155,0.166619495,,0.181,0.152279154,0.168290342,0.192,23749,37866,18008,0.332,0.156,0.098,0.428,16858,50677,2540,2634
college,Houston,0.279,0.289,0.287,0.297,0.314,0.304,0.309,0.325,0.327,0.329,0.340052588,,0.363,0.317555497,0.340771732,0.352,196423,292406,97786,0.577,0.27,0.165,0.646,284480,93135,98906,77543
college,Philadelphia,0.232,0.226,0.236,0.243,0.252,0.26,0.274,0.286,,0.309,0.310237303,,0.348,0.39808879,0.304599048,0.238,175923,172856,53941,0.521,0.209,0.194,0.419,220715,87397,27331,35420
college,Phoenix,0.247,0.249,0.26,0.267,0.267,0.274,0.266,0.279,0.284,0.289,0.285560543,,0.328,0.254910582,0.322873187,0.32,107831,197096,60754,0.425,0.286,0.141,0.62,236583,21282,54578,29760
college,Pittsburgh,0.326,0.349,0.331,0.384,0.397,0.384,0.413,0.457,0.441,0.438,0.469978008,,0.476,0.455344267,0.429046856,0.341,50836,42286,16227,0.533,0.214,0.508,0.787,141562,8914,2922,7599
college,Washington,0.485,0.501,0.525,0.53,0.551,0.55,0.567,0.568,0.573,0.604,0.596717774,,0.63,0.593181539,0.602123099,0.501,125414,148893,42884,0.928,0.337,0.574,0.799,181758,67089,27781,17982
poverty,Baltimore,0.21,0.256,0.251,0.248,0.233,0.236,0.229,0.219,0.222,0.184,0.202,0.2,0.23,0.216,0.187,0.205,30998,39510,17049,0.12,0.277,0.261,0.22,17887,91384,8542,2916
poverty,Boston,0.169,0.233,0.232,0.216,0.216,0.226,0.205,0.21,0.187,0.182,0.171,0.18,0.187,0.181,0.144,0.242,37989,31608,19635,0.106,0.184,0.315,0.271,27674,23149,40435,15378
poverty,Chicago,0.216,0.225,0.237,0.239,0.23,0.22,0.209,0.191,0.186,0.174,0.164,0.173,0.171,0.152,0.149,0.161,112935,150483,58742,0.086,0.267,0.176,0.152,74654,200933,135909,27932
poverty,Cleveland,0.35,0.34,0.343,0.361,0.369,0.392,0.347,0.35,0.331,0.331,0.308,0.32,0.293,0.292,0.239,0.209,28026,32189,11137,0.198,0.351,0.29,0.357,23192,60864,12847,3191
poverty,Detroit,0.364,0.376,0.408,0.423,0.407,0.393,0.398,0.357,0.345,0.334,0.306,0.332,0.302,0.264,0.279,0.2,40068,62426,18435,0.285,0.305,0.314,0.319,17136,146589,15066,2703
poverty,Houston,0.206,0.228,0.238,0.235,0.224,0.224,0.212,0.208,0.206,0.204,0.197,0.196,0.194,0.188,0.151,0.161,112757,127457,44145,0.088,0.265,0.226,0.14,47804,130819,225170,22002
poverty,Philadelphia,0.25,0.267,0.284,0.269,0.263,0.26,0.258,0.257,,0.245,0.233,0.231,0.228,0.202,0.187,0.212,83868,105635,46842,0.126,0.283,0.3,0.227,63186,171310,74083,25831
poverty,Phoenix,0.211,0.225,0.229,0.241,0.236,0.233,0.223,0.203,0.168,0.156,0.156,0.162,0.149,0.145,0.113,0.12,413053,605216,188114,0.086,0.204,0.202,0.108,636420,117161,687139,66184
poverty,Pittsburgh,0.231,0.267,0.238,0.211,0.227,0.238,0.23,0.192,0.202,0.205,0.191,0.197,0.202,0.24,0.142,0.168,22444,13752,7709,0.147,0.342,0.334,0.278,26096,20241,3179,3660
poverty,Washington,0.184,0.192,0.187,0.182,0.189,0.177,0.173,0.186,0.166,0.162,0.135,0.155,0.154,0.15,0.126,0.139,30220,31122,11225,0.052,0.248,0.116,0.135,12250,72900,8495,3446
deep_poverty,Baltimore,0.107804918,0.126700425,0.127862378,0.116893298,0.12520007,0.11974256,0.117032767,0.10409655,0.111532597,0.098,0.105552,0.102262408,0.11545508,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Boston,0.084598631,0.125904548,0.120034039,0.118264586,0.115307016,0.120878224,0.102264306,0.104852045,0.095077437,0.09,0.085472,0.090712205,0.103037138,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Chicago,0.100644387,0.100097431,0.11234008,0.106084317,0.107868425,0.102886058,0.094669744,0.085666728,0.084774985,0.08,0.072625,0.080074324,0.084563734,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Cleveland,0.172539382,0.165916756,0.176496675,0.188010763,0.177467234,0.190177569,0.173633799,0.17723759,0.148706345,,0.114386,0.146785551,0.148534448,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Detroit,0.184913389,0.189582769,0.212632018,0.210428709,0.223712981,0.204184608,0.181482483,0.166107726,0.172712239,0.172,0.137208,0.164436751,0.147451761,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
deep_poverty,Houston,0.084787613,0.094044096,0.099940656,0.096873757,0.091564629,0.089792677,0.091013315,0.086374904,0.085780415,0.093,0.081479,0.084508618,0.117376588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
