indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
deep_proverty,Boston,0.105421219,0.084116676,0.084598631,0.125904548,0.120034039,0.118264586,0.115307016,0.120878224,0.102264306,0.104852045,0.095077437,,N/A,N/A,N/A,N/A,N/A,N/A,0.066,0.091,0.122,0.176,,,,
deep_proverty,Chicago,0.090996586,0.093455423,0.100644387,0.100097431,0.11234008,0.106084317,0.107868425,0.102886058,0.094669744,0.085666728,0.084774985,,N/A,N/A,N/A,N/A,N/A,N/A,0.057,0.143,0.06,0.076,,,,
deep_proverty,Cleveland,0.137431925,0.142060939,0.172539382,0.165916756,0.176496675,0.188010763,0.177467234,0.190177569,0.173633799,0.17723759,0.148706345,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
deep_proverty,Detroit,0.185830247,0.155243024,0.184913389,0.189582769,0.212632018,0.210428709,0.223712981,0.204184608,0.181482483,0.166107726,0.172712239,,N/A,N/A,N/A,N/A,N/A,N/A,0.178,0.168,0.227,0.118,,,,
deep_proverty,Houston,0.082429086,0.07973712,0.084787613,0.094044096,0.099940656,0.096873757,0.091564629,0.089792677,0.091013315,0.086374904,0.085780415,,N/A,N/A,N/A,N/A,N/A,N/A,0.049,0.124,0.091,0.055,,,,
deep_proverty,Philadelphia,0.11085543,0.11060648,0.119951396,0.134751535,0.131056045,0.122521885,0.121974927,0.12281726,0.121619832,0.122661292,0.140000182,,N/A,N/A,N/A,N/A,N/A,N/A,0.132,0.135,0.199,0.109,,,,
deep_proverty,Phoenix,0.082959347,0.090835636,0.102100578,0.113485532,0.108508079,0.116308231,0.112840914,0.106436355,0.107006782,0.090067281,0.072339717,,N/A,N/A,N/A,N/A,N/A,N/A,0.053,0.133,0.081,0.029,,,,
deep_proverty,Pittsburgh,0.096376483,0.114082552,0.117690091,0.099007898,0.126531457,0.107463785,0.118607528,0.119662726,0.112931433,0.097763692,0.112065107,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
deep_proverty,Washington,0.084620512,0.097710519,0.107224611,0.106817899,0.103105975,0.103719629,0.103199147,0.090961948,0.091862884,0.107435452,0.089338855,,N/A,N/A,N/A,N/A,N/A,N/A,0.044,0.133,0.062,0.1,,,,
homicide_capita,Baltimore,,37.7,38.35560806,35.90953374,31.75155776,35,37.42989926,33.9,55.2,51.5,55.8,50.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Boston,,10.3,8.161013533,11.75383288,9.992386753,9.3,5.971493011,8.2,6.1,6.9,8.6,8.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Chicago,,18.9,16.98179389,16.01465638,15.91457676,18.7,15.25613436,15,17.2,28,24,20.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Cleveland,,13.5,20.65858576,20.46022885,18.84898903,24.6,14.80502043,26.4,30.8,35,33.7,33.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Detroit,,42.7,49.64747557,43.59320508,48.79135031,54.6,45.67246196,43.6,43.4,44.6,39.7,38.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Houston,,14.3,13.74959638,12.81900988,9.321406327,10.1,9.907012962,11,13.2,13.2,11.7,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Philadelphia,,22.1,19.93802048,20.02233865,21.0345629,21.6,15.84988427,16,17.9,17.7,20.2,22.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Phoenix,,11.5,6.126611591,8.003891547,7.89087733,7.9,7.725870404,7.7,7.4,9.4,10,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Pittsburgh,,23.4,12.72140131,18.00857863,14.37405874,13.7,14.65693012,23.2,19.6,18.4,18.8,17.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Washington,,34.4,24.31495978,21.81511688,17.43054412,14.2,15.83565359,16.2,24.6,20.1,17,23.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
population,Baltimore,,620184,620509,621005,620442,622973,622497,623165,622150,615150,609841,602495,0.487447241,0.364951973,0.133053533,302465.4,226637,82552,0.275,0.627,0.053,0.027,,,,
population,Boston,,600685,612669,621074,630480,643003,653103,663017,670791,680470,688276,694583,0.610505673,0.368712907,0.126862073,374037.9,228998,79984,0.439,0.259,0.204,0.097,,,,
population,Chicago,,2697359,2697006,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994,0.511318848,0.372523891,0.122788898,1379030,1004894,332538,0.329,0.298,0.29,0.067,,,,
population,Cleveland,,408261,401770,395890,392594,391500,391759,390850,389248,387708,385428,383793,0.4633559,0.369958827,0.134828856,186162.5,146463,52933,0.329,0.487,0.124,0.024,,,,
population,Detroit,,756383,731155,711120,705043,700159,691883,682669,679305,676883,674188,672662,0.464082855,0.336564855,0.133971971,339316.5,239338,94456,0.105,0.79,0.072,0.018,,,,
population,Houston,,2060477,2087334,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502,0.591472711,0.396734059,0.115864139,1234601.1,832525,246112,0.247,0.229,0.446,0.065,,,,
population,Philadelphia,,1499731,1514694,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138,0.53145368,0.369146492,0.137449183,804989.7,564164,211716,0.345,0.42,0.148,0.073,,,,
population,Phoenix,,1456729,1452679,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272,0.579776675,0.420537572,0.118621654,842229.4,609483,174380,0.418,0.072,0.429,0.04,,,,
population,Pittsburgh,,307673,306570,305410,306107,306470,307022,306092,304211,304814,301720,301048,0.520969436,0.314413411,0.152495696,159713.6,96025,46680,0.65,0.221,0.03,0.065,,,,
population,Washington,,580236,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455,0.610775749,0.410302685,0.135557987,361718.5,248268,83992,0.365,0.459,0.11,0.041,,,,
