indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
commute,Phoenix,0.040150674,0.039225576,0.032169063,0.030970597,0.039544924,0.032024274,0.040205054,0.033767267,0.035356884,0.029883779,0.037384115,,N/A,N/A,N/A,N/A,N/A,N/A,0.016024199,0.082449847,0.027546426,0.026123365,5769,4114,8553,861
commute,Pittsburgh,0.184926173,0.208683877,0.190823683,0.180322323,0.180273763,0.172364944,0.148144666,0.174793335,0.173331879,0.180755331,0.177353718,,N/A,N/A,N/A,N/A,N/A,N/A,0.134969719,0.314178389,0.171307719,0.240178485,14731,7862,972,2476
commute,Washington,0.363849992,0.357408619,0.371186225,0.383018162,0.3958918,0.385996327,0.384883379,0.360596627,0.357769091,0.360158916,0.326716927,,N/A,N/A,N/A,N/A,N/A,N/A,0.316807657,0.323218685,0.393914917,0.330725612,55876,42373,16093,6299
homeownership,Baltimore,0.514220237,0.513570752,0.507141032,0.459278405,0.486150528,0.463143983,0.462316786,0.459536955,0.447520973,0.457485338,0.47419677,,0.253584308,0.502760993,0.631597522,14415,63733,35792,0.590853762,0.418672643,0.43895597,0.423404573,45143,60718,3599,2833
homeownership,Boston,0.385287244,0.368499672,0.371876496,0.324843775,0.335418777,0.332018896,0.336423615,0.349203347,0.340626099,0.349969356,0.351891884,,0.160395556,0.430533824,0.471928742,13803,56133,24478,0.450644573,0.272828675,0.160460407,0.321856287,60755,16388,7528,8170
homeownership,Chicago,0.499142647,0.480140523,0.468470089,0.458563972,0.442251722,0.443604819,0.429008403,0.43645364,0.43816397,0.437019088,0.448856776,,0.205956661,0.507375633,0.615037003,57797,279497,132971,0.52875348,0.33382581,0.455890155,0.474945406,226794,104841,99674,32406
homeownership,Cleveland,0.466563494,0.462052565,0.461123617,0.469495121,0.448701754,0.411548885,0.424847932,0.395170619,0.411852064,0.418368923,0.404077639,,0.139613824,0.424059039,0.639787798,5676,39591,24120,0.548726089,0.311505095,0.342825335,0.476734694,34567,26320,5851,1752
homeownership,Detroit,0.554124352,0.533031142,0.537514534,0.532380359,0.51768528,0.498808644,0.499377257,0.462523176,0.465740668,0.459808326,0.469420487,,0.21067451,0.480336242,0.669300156,11747,69313,43036,0.540579037,0.455780601,0.517944017,0.447126437,17458,95976,7346,1556
homeownership,Houston,0.474266868,0.466959525,0.47430318,0.462245625,0.45043311,0.440694343,0.430057184,0.416539599,0.413640888,0.431423584,0.427698445,,0.175722318,0.474272714,0.686691881,41442,215344,101491,0.552136321,0.303546699,0.390468213,0.478464975,148920,63128,113743,27417
homeownership,Philadelphia,0.574378005,0.562337552,0.546431862,0.540974917,0.540054369,0.521753002,0.510014969,0.520125912,0.526487094,0.521364001,0.489758175,,0.230248127,0.529770959,0.682229714,34566,169612,92685,0.520274757,0.482035941,0.404715595,0.503235772,131642,113921,28923,18896
homeownership,Phoenix,0.618063946,0.613515341,0.590928182,0.557614698,0.552308667,0.529447518,0.524072255,0.508175344,0.503542687,0.530456711,0.561239728,,0.301446352,0.603391955,0.743726989,37953,199307,76560,0.657395847,0.293820168,0.480384609,0.569097003,200085,11620,84234,11716
homeownership,Pittsburgh,0.538241152,0.521793314,0.471035034,0.513702745,0.48198458,0.477009877,0.497676701,0.472931539,0.474896239,0.4718562,0.489071754,,0.185772672,0.596400476,0.717515551,8409,36087,22723,0.571368357,0.359068459,0.301739652,0.21405913,52867,10469,1006,1687
homeownership,Washington,0.445400914,0.434290949,0.447761553,0.424715121,0.411750475,0.415061014,0.40681978,0.405554875,0.399432905,0.392460559,0.422080114,,0.185309129,0.488883593,0.603990598,15394,69750,33661,0.521362903,0.349111901,0.364021862,0.350276934,61757,43241,7726,3921
foreign_born,Baltimore,0.058485697,0.058596148,0.064860107,0.070884958,0.074393092,0.074709258,0.071243715,0.078070884,0.080175412,0.08144287,0.087499673,,0.070283906,0.114976813,0.075140517,21258,26058,6203,0.181580373,0.417029466,0.204021002,0.203983632,9718,22319,10919,10917
