indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
commute,Boston,0.339537299,0.311504937,0.345270144,0.32823461,0.325677135,0.34644193,0.330344055,0.339500216,0.345145271,0.327638474,0.350134691,0.322,0.32,,0.176,0.224,0.251,0.253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Chicago,0.267262312,0.267225386,0.26499437,0.264523871,0.275831792,0.263094508,0.278156982,0.28231759,0.282846511,0.281656002,0.283380116,0.283,0.284,,0.122,0.173,0.195,0.205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Cleveland,0.136414484,0.121892276,0.1120131,0.114238968,0.107573889,0.102801667,0.10821958,0.107604117,0.107587206,0.102617883,0.085975434,0.103,0.082,,0.051,0.067,0.069,0.072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Detroit,0.084658159,0.091021679,0.07612016,0.084481409,0.097380531,0.093602014,0.080720577,0.092440549,0.067626432,0.077123555,0.067882778,0.059,0.075,,0.056,0.046,0.049,0.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Houston,0.048870927,0.040527871,0.039328263,0.044883692,0.043343482,0.044389597,0.041606325,0.042345196,0.040411443,0.036113927,0.040031196,0.038,0.038,,0.029,0.03,0.032,0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Philadelphia,0.25287035,0.267979705,0.249140631,0.27189953,0.256301345,0.259814436,0.271666922,0.268292989,0.252261966,0.240081084,,0.264,0.255,,0.14,0.157,0.167,0.201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Phoenix,0.040150674,0.039225576,0.032169063,0.030970597,0.039544924,0.032024274,0.040205054,0.033767267,0.035356884,0.029883779,0.037384115,0.03,0.029,,0.018,0.014,0.02,0.021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Pittsburgh,0.184926173,0.208683877,0.190823683,0.180322323,0.180273763,0.172364944,0.148144666,0.174793335,0.173331879,0.180755331,0.177353718,0.186,0.173,,0.085,0.093,0.136,0.138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
commute,Washington,0.363849992,0.357408619,0.371186225,0.383018162,0.3958918,0.385996327,0.384883379,0.360596627,0.357769091,0.360158916,0.326716927,0.344,0.342,,0.116,0.187,0.229,0.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homeownership,Baltimore,0.514220237,0.513570752,0.507141032,0.459278405,0.486150528,0.463143983,0.462316786,0.459536955,0.447520973,0.457485338,0.47419677,0.475,0.476006823,,0.484526477,0.475907611,0.478682268,0.483552508,0.131619893,0.553498366,0.314881741,15988,67234,38249,0.381,0.522,0.048,0.018,46273,63351,5887,2185
