indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
cost_burden,Phoenix,0.519687509,0.51794505,0.527022664,0.558775764,0.517592891,0.537892001,0.492636243,0.50962829,0.498158939,0.486799868,0.475603811,0.469,0.4551909,,0.499,0.515124226,0.518699396,0.500222447,0.487588687,0.464106687,0.607445821,49893,58884,18976,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Pittsburgh,0.541833099,0.544979062,0.483247173,0.532170046,0.49915153,0.485341302,0.508016048,0.494685175,0.49981599,0.446746344,0.459532935,0.497,0.437506723,,0.459,0.409146791,0.470896399,0.4503855,0.478888164,0.401311656,0.486287758,17625,10219,4894,NA,NA,NA,NA,NA,NA,NA,NA
cost_burden,Washington,0.484360038,0.474712194,0.491275958,0.506974726,0.492677184,0.481241993,0.494578575,0.486349881,0.48364748,0.484173199,0.47908628,0.465,0.427277603,,0.451,0.452875292,0.424950549,0.454701285,0.448538087,0.407073121,0.535105925,38398,32022,13665,NA,NA,NA,NA,NA,NA,NA,NA
college,Baltimore,0.241,0.247,0.261,0.242,0.275,0.269,0.287,0.3,0.299,0.308,0.306,0.331,0.332990061,,0.377,0.261794849,0.275343704,0.284299216,0.377684591,0.344307121,0.259297733,58543,72655,22715,0.640569061,0.204311641,0.293327974,0.741325811,75149,47822,7298,7884
college,Boston,0.403,0.421,0.447,0.443,0.427,0.433,0.452,0.465,0.466,0.484,0.482,0.514,0.517272072,,0.525,0.415743773,0.433048455,0.427878579,0.558039166,0.486925234,0.340550366,141454,109751,29602,0.757273506,0.286085167,0.274831719,0.581058177,167181,27108,21762,28455
college,Chicago,0.296,0.311,0.331,0.333,0.335,0.345,0.351,0.36,0.366,0.385,0.388,0.394,0.41338758,,0.437,0.333607373,0.35018394,0.357706133,0.485752133,0.414268838,0.294919461,385404,421526,110496,0.692729292,0.260642967,0.211502585,0.671870769,477889,137179,107250,101734
college,Cleveland,0.13,0.133,0.137,0.133,0.147,0.152,0.165,0.151,0.162,0.163,0.17,0.17,0.185557513,,0.217,0.178966637,0.17129622,0.183036802,0.275537744,0.196935196,0.156843766,27157,26551,8750,0.341390225,0.13644459,0.115262936,0.521287295,33220,15399,3279,3110
college,Detroit,0.118,0.108,0.124,0.12,0.13,0.13,0.13,0.138,0.142,0.149,0.146,0.155,0.166619495,,0.181,0.119237279,0.130117289,0.132607612,0.160680839,0.165840264,0.179366003,25479,37326,17269,0.384669728,0.146089465,0.114931666,0.456011929,19602,46901,3162,3364
college,Houston,0.276,0.284,0.279,0.289,0.287,0.297,0.314,0.304,0.309,0.325,0.327,0.329,0.340052588,,0.363,0.250992226,0.262227223,0.267300275,0.319210711,0.350828295,0.34326297,205595,298945,98431,0.634457744,0.282391394,0.173684459,0.623505484,265709,100827,106739,75721
college,Philadelphia,0.211,0.21,0.232,0.226,0.236,0.243,0.252,0.26,0.274,0.286,,0.309,0.310237303,,0.348,0.26824875,0.26242114,0.271182833,0.400787463,0.314918673,0.237930708,179663,177776,55228,0.527101709,0.21300974,0.212755817,0.419885028,215077,89050,29462,37324
college,Phoenix,0.235,0.229,0.247,0.249,0.26,0.267,0.267,0.274,0.266,0.279,0.284,0.289,0.285560543,,0.328,0.229908362,0.233783077,0.252196791,0.256952258,0.334384725,0.32201619,111895,206620,64723,0.455927649,0.276981805,0.148384067,0.636350738,236688,22058,57515,31395
college,Pittsburgh,0.32,0.342,0.326,0.349,0.331,0.384,0.397,0.384,0.413,0.457,0.441,0.438,0.469978008,,0.476,0.377332827,0.379872978,0.409256671,0.45719004,0.458122022,0.334445214,52602,44715,15942,0.541779015,0.215740609,0.555804405,0.824813584,75148,9109,4467,9181
college,Washington,0.475,0.482,0.485,0.501,0.525,0.53,0.551,0.55,0.567,0.568,0.573,0.604,0.596717774,,0.63,0.498608967,0.50155382,0.497858313,0.60857103,0.631759295,0.494682133,131001,158926,43116,0.9313056,0.343024281,0.563225555,0.864504798,181111,68079,28916,20181
poverty,Baltimore,0.2,0.193,0.21,0.256,0.251,0.248,0.233,0.236,0.229,0.219,0.222,0.184,0.202,0.2,0.23,0.185324647,0.201834154,0.176869596,0.213100838,0.170195451,0.216941882,55227,35554,18511,0.112873486,0.236620453,0.175881508,0.214988814,16161,78014,7956,2883
poverty,Boston,0.204,0.187,0.169,0.233,0.232,0.216,0.216,0.226,0.205,0.21,0.187,0.182,0.171,0.18,0.187,0.170627967,0.15643634,0.165323851,0.180902444,0.130346759,0.205709646,56858,29230,17481,0.102380335,0.194145537,0.250517247,0.233508892,27656,25674,30997,14365
poverty,Chicago,0.205,0.206,0.216,0.225,0.237,0.239,0.23,0.22,0.209,0.191,0.186,0.174,0.164,0.173,0.171,0.172236435,0.16779241,0.16571042,0.18602113,0.141496479,0.179778812,238789,142809,65787,0.086820986,0.271266529,0.163659259,0.162774789,73889,199953,130224,31647
poverty,Cleveland,0.295,0.305,0.35,0.34,0.343,0.361,0.369,0.392,0.347,0.35,0.331,0.331,0.308,0.32,0.293,0.317870056,0.306693836,0.282691475,0.353851796,0.269217778,0.245953246,59819,35866,13204,0.19233006,0.364568215,0.33061773,0.436121269,22819,60285,15746,3697
poverty,Detroit,0.338,0.333,0.364,0.376,0.408,0.423,0.407,0.393,0.398,0.357,0.345,0.334,0.306,0.332,0.302,0.338398151,0.318564654,0.34525071,0.375802406,0.303724646,0.222116301,116852,67894,20970,0.276585729,0.333173653,0.350698184,0.325533119,18214,158574,18560,3450
poverty,Houston,0.207,0.195,0.206,0.228,0.238,0.235,0.224,0.224,0.212,0.208,0.206,0.204,0.197,0.196,0.194,0.207326288,0.195002049,0.212433763,0.24292091,0.148114738,0.170295609,282938,125114,47936,0.088975898,0.257499462,0.239846446,0.137661747,47176,132802,244729,21788
poverty,Philadelphia,0.238,0.241,0.25,0.267,0.284,0.269,0.263,0.26,0.258,0.257,,0.245,0.233,0.231,0.228,0.216780382,0.203281614,0.19708414,0.238143482,0.182079694,0.210384987,178173,102160,47636,0.122457431,0.253175558,0.305958624,0.220332482,61510,154111,74094,26998
poverty,Phoenix,0.178,0.189,0.211,0.225,0.229,0.241,0.236,0.233,0.223,0.203,0.168,0.156,0.156,0.162,0.149,0.138797554,0.135664818,0.120318122,0.159465282,0.113327427,0.11926999,128415,69456,23638,0.085719526,0.215246817,0.175247248,0.110631071,56079,26843,119591,7426
poverty,Pittsburgh,0.21,0.212,0.231,0.267,0.238,0.211,0.227,0.238,0.23,0.192,0.202,0.205,0.191,0.197,0.202,0.189800156,0.199326753,0.201468837,0.262362677,0.137021824,0.147853736,36396,13210,6789,0.131459697,0.354526532,0.248991122,0.2686177,22831,22823,3085,4213
poverty,Washington,0.164,0.172,0.184,0.192,0.187,0.182,0.189,0.177,0.173,0.186,0.166,0.162,0.135,0.155,0.164719188,0.133274637,0.140225857,0.173116858,0.179761849,0.122502833,0.152720552,57442,30593,12973,0.046775384,0.259282738,0.123439985,0.145124717,11086,71987,9703,3968
deep_poverty,Baltimore,0.09434378,0.092415452,0.107804918,0.126700425,0.127862378,0.116893298,0.12520007,0.11974256,0.117032767,0.10409655,0.111532597,0.098,0.105552,,0.11545508,0.103918873,0.118070423,0.100619099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Boston,0.105421219,0.084116676,0.084598631,0.125904548,0.120034039,0.118264586,0.115307016,0.120878224,0.102264306,0.104852045,0.095077437,0.09,0.085472,,0.103037138,0.100388713,0.078363586,0.098973796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Chicago,0.090996586,0.093455423,0.100644387,0.100097431,0.11234008,0.106084317,0.107868425,0.102886058,0.094669744,0.085666728,0.084774985,0.08,0.072625,,0.084563734,0.091539893,0.079170114,0.084982028,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Cleveland,0.137431925,0.142060939,0.172539382,0.165916756,0.176496675,0.188010763,0.177467234,0.190177569,0.173633799,0.17723759,0.148706345,,0.114386,,0.148534448,0.162701517,0.16246375,0.14738935,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Detroit,0.185830247,0.155243024,0.184913389,0.189582769,0.212632018,0.210428709,0.223712981,0.204184608,0.181482483,0.166107726,0.172712239,0.172,0.137208,,0.147451761,0.177641533,0.152633376,0.183227109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Houston,0.082429086,0.07973712,0.084787613,0.094044096,0.099940656,0.096873757,0.091564629,0.089792677,0.091013315,0.086374904,0.085780415,0.093,0.081479,,0.098331368,0.102028428,0.091424017,0.105566369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Philadelphia,0.11085543,0.11060648,0.119951396,0.134751535,0.131056045,0.122521885,0.121974927,0.12281726,0.121619832,0.122661292,,0.111,0.110504,,0.117376588,0.097376601,0.096650741,0.09364278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Phoenix,0.082959347,0.090835636,0.102100578,0.113485532,0.108508079,0.116308231,0.112840914,0.106436355,0.107006782,0.090067281,0.072339717,0.064,0.063869,,0.074940065,0.071343701,0.068709875,0.064885104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Pittsburgh,0.096376483,0.114082552,0.117690091,0.099007898,0.126531457,0.107463785,0.118607528,0.119662726,0.112931433,0.097763692,0.112065107,,0.102633,,0.102405659,0.111400775,0.119692639,0.115911927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
deep_poverty,Washington,0.084620512,0.097710519,0.107224611,0.106817899,0.103105975,0.103719629,0.103199147,0.090961948,0.091862884,0.107435452,0.089338855,0.097,0.072682,,0.103725386,0.080162961,0.08155205,0.103434292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Baltimore,,37.7,38.356,35.91,31.752,35,37.43,33.9,55.2,51.5,55.8,50.5,58.6,56.4,39.4,56.67352715,43.34449675,34.1386416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Boston,,10.3,8.161,11.754,9.992,9.3,5.971,8.2,6.1,6.9,8.6,8.2,5.5,8.2,5.9,6.156043388,5.671002173,3.561771506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Chicago,,18.9,16.982,16.015,15.915,18.7,15.256,15,17.2,28,24,20.7,18.3,28.5,29,26.6785338,23.30683885,21.31313926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Cleveland,,13.5,20.659,20.46,18.849,24.6,14.805,26.4,30.8,35,33.7,33.5,30.9,45.9,45.6,46.45323984,43.01431053,31.19945483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Detroit,,42.7,49.647,43.593,48.791,54.6,45.672,43.6,43.4,44.6,39.7,38.8,39,48.8,48.3,49.8057736,39.79653233,31.43865127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Houston,,14.3,13.75,12.819,9.321,10.1,9.907,11,13.2,13.2,11.7,12.1,12.1,17.2,20.5,18.61644652,15.18520105,13.40084007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Philadelphia,,22.1,19.938,20.022,21.035,21.6,15.85,16,17.9,17.7,20.2,22.2,22.5,31.5,35,32.92374325,26.4423666,17.09112812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Phoenix,,11.5,6.127,8.004,7.891,7.9,7.726,7.7,7.4,9.4,10,8.4,8.3,10.4,9.2,13.19627853,11.63600398,8.248053639,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Pittsburgh,,23.4,12.721,18.009,14.374,13.7,14.657,23.2,19.6,18.4,18.8,17.9,12.3,17,39.3,23.43969231,17.14734183,13.6509897,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
homicide_capita,Washington,,34.4,24.315,21.815,17.431,14.2,15.836,16.2,24.6,20.1,17,23.1,23.5,28.1,32.8,30.21719165,40.3551251,26.62869349,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
population,Baltimore,,620184,620509,621005,620442,622973,622497,623165,622150,615150,609841,602495,593490,583132,576498,569931,565239,568271,0.479069086,0.36811265,0.152818264,274623,211018,87602,0.259774651,0.585247443,0.082021063,0.025622642,148914,335489,47018,14688
population,Boston,,600685,612669,621074,630480,643003,653103,663017,670791,680470,688276,694583,694295,674272,654776,649768,652442,673822,0.531362069,0.338207976,0.130429955,354122,225396,86924,0.44068351,0.192795472,0.192748956,0.102565565,293690,128487,128456,68354
population,Chicago,,2697359,2697006,2697529,2708209,2719735,2726772,2728524,2726215,2718946,2713067,2705994,2693959,2741730,2696555,2665064,2664454,2721326,0.486511637,0.375298112,0.13819025,1319043,1017518,374665,0.320934883,0.274307638,0.297030937,0.072452462,870127,743710,805318,196435
population,Cleveland,,408261,401770,395890,392594,391500,391759,390850,389248,387708,385428,383793,380989,372032,367991,361654,362670,365391,0.479348369,0.368265787,0.152385843,175488,134821,55788,0.337022702,0.451145461,0.132467625,0.026077788,123383,165163,48496,9547
population,Detroit,,756383,731155,711120,705043,700159,691883,682669,679305,676883,674188,672662,670052,638176,632464,620410,633221,645702,0.496734687,0.352484613,0.150780699,317180,225072,96278,0.108480416,0.749512161,0.083413465,0.01734296,69268,478586,53262,11074
population,Houston,,2060477,2087334,2098446,2124143,2160086,2198280,2240982,2286630,2309752,2317445,2325502,2316797,2300027,2288250,2304414,2311461,2387910,0.51085084,0.365987717,0.123161443,1189390,852112,286751,0.232080448,0.223282006,0.442439889,0.068779467,540342,519857,1030112,160136
population,Philadelphia,,1499731,1514694,1528293,1540322,1551797,1558371,1565604,1571258,1576390,1580221,1584138,1584064,1601005,1576251,1567258,1550542,1573916,0.495708695,0.357353837,0.146937468,783074,564514,232118,0.331951009,0.383320061,0.155650482,0.079078639,524385,605533,245882,124921
population,Phoenix,,1456729,1452679,1449295,1470052,1499839,1527336,1556552,1584927,1613581,1634984,1660272,1680988,1611345,1624569,1644403,1650051,1673122,0.501374577,0.376242067,0.122383356,823419,617911,200993,0.406268438,0.074093829,0.419664707,0.040151663,667224,121686,689225,65942
population,Pittsburgh,,307673,306570,305410,306107,306470,307022,306092,304211,304814,301720,301048,300281,302777,300431,302905,303254,307670,0.523321707,0.320269459,0.156408835,159487,97605,47667,0.618698709,0.220843355,0.044615581,0.061146677,188554,67304,13597,18635
population,Washington,,580236,592228,605085,619602,634725,650431,662513,675254,686575,695691,702455,705749,690093,670050,671803,678972,702250,0.502828441,0.369240005,0.127931554,342574,251561,87159,0.364588562,0.416122849,0.119114509,0.04299759,248392,283502,81152,29294
